ages,list_price,num_reviews,piece_count,play_star_rating,review_difficulty,star_rating,theme_name,val_star_rating,country
23,11.99,4,59,4,0,3.8,12,3,20
8,349.99,171,4080,4.5,1,4.7,15,4.5,20
7,199.99,52,2294,3.3,0,4.5,15,4.3,20
19,79.99,5,701,4,0,4,15,3.8,20
19,69.99,3,585,4.3,1,4.3,15,3.3,20
19,49.99,3,380,4.3,0,4.3,15,3.3,20
19,39.99,3,307,4.7,2,4.7,15,4.7,20
19,39.99,3,322,4.7,2,4.3,15,4.3,20
19,39.99,4,350,4.3,0,4.8,15,4.3,20
13,34.99,2,191,5,0,5,21,4.5,20
16,29.99,2,222,5,0,5,15,4.5,20
13,24.99,3,94,4.7,0,4.7,21,4.7,20
13,19.99,2,116,5,2,4.5,21,5,20
13,19.99,2,95,2.5,2,3,21,3,20
16,19.99,0,125,0,5,0,15,0,20
16,14.99,1,104,5,0,5,15,5,20
13,9.99,8,47,3.9,4,4,21,3.9,20
13,9.99,3,62,4.3,2,4.7,21,5,20
18,9.99,1,115,4,2,5,15,4,20
18,9.99,1,80,5,2,5,15,5,20
13,9.99,1,75,5,5,5,21,5,20
13,9.99,3,59,4.3,2,5,21,4.3,20
0,9.99,6,118,3.3,4,5,4,4.7,20
16,29.99,11,174,4.3,2,4,15,3.8,20
16,24.99,2,205,5,1,4.5,15,4.5,20
16,19.99,1,186,5,4,5,15,5,20
16,19.99,2,153,5,2,5,15,5,20
0,9.99,9,109,3.6,2,4.8,4,4.6,20
0,9.99,10,139,4.2,2,4.8,4,4.7,20
0,9.99,2,116,5,0,5,4,5,20
16,9.99,0,75,0,5,0,15,0,20
16,5.99,0,61,0,5,0,15,0,20
11,29.99,0,22,0,5,0,13,0,20
11,19.99,1,24,0,5,5,13,0,20
11,109.99,22,134,4.6,0,4.1,13,3.7,20
11,99.99,8,163,4.9,2,5,13,4.8,20
11,79.99,1,106,4,2,5,13,4,20
11,59.99,0,104,0,5,0,13,0,20
11,59.99,0,98,0,5,0,13,0,20
11,49.99,1,67,5,0,5,13,5,20
11,49.99,0,71,0,5,0,13,0,20
11,44.99,11,52,4.9,2,4.7,13,4.4,20
11,39.99,0,69,0,5,0,13,0,20
11,39.99,0,70,0,5,0,13,0,20
11,39.99,0,61,0,5,0,13,0,20
11,39.99,3,28,5,2,5,13,4.5,20
11,34.99,3,48,5,4,5,13,5,20
11,29.99,2,57,5,0,5,13,5,20
11,29.99,3,28,4.3,0,4.3,13,3.3,20
11,29.99,1,31,5,2,5,13,4,20
11,29.99,5,45,4.5,2,4.2,13,3.8,20
11,29.99,0,38,0,5,0,13,0,20
9,29.99,0,34,0,5,0,13,0,20
11,29.99,1,37,5,4,5,13,5,20
11,29.99,0,59,0,5,0,13,0,20
10,29.99,0,70,0,5,0,13,0,20
10,29.99,4,65,4.8,4,5,13,4,20
11,24.99,2,26,5,4,5,13,5,20
11,24.99,4,24,5,2,4.8,13,4.7,20
11,24.99,0,32,0,5,0,13,0,20
9,24.99,6,24,2.2,0,2.2,13,3.2,20
11,24.99,0,29,0,5,0,13,0,20
11,19.99,2,39,5,0,5,13,5,20
9,19.99,5,23,5,2,5,13,4.8,20
10,19.99,6,36,4.8,2,5,13,4.7,20
11,19.99,2,26,5,0,5,13,5,20
11,19.99,1,23,5,2,5,13,5,20
11,19.99,0,26,0,5,0,13,0,20
11,19.99,1,19,3,5,4,13,4,20
9,19.99,0,28,0,5,0,13,0,20
11,14.99,0,15,0,5,0,13,0,20
11,14.99,0,19,0,5,0,13,0,20
11,14.99,1,15,3,2,4,13,3,20
9,14.99,0,41,0,5,0,13,0,20
10,14.99,15,1,4.4,2,4,13,3.3,20
11,9.99,2,15,5,4,5,13,5,20
11,9.99,0,16,0,5,0,13,0,20
9,9.99,0,18,0,5,0,13,0,20
9,4.99,0,6,0,5,0,13,0,20
9,4.99,0,6,0,5,0,13,0,20
9,4.99,0,6,0,5,0,13,0,20
11,29.99,1,28,5,0,5,13,5,20
11,14.99,3,13,3,2,3.7,13,2.5,20
11,59.99,2,110,3,4,3.5,13,4,20
11,49.99,2,86,4.5,2,4.5,13,4,20
11,34.99,0,56,0,5,0,13,0,20
11,29.99,0,39,0,5,0,13,0,20
11,29.99,2,30,5,4,5,13,4.5,20
10,29.99,0,70,0,5,0,13,0,20
11,24.99,0,30,0,5,0,13,0,20
11,19.99,3,29,5,2,5,13,4.7,20
10,19.99,3,25,4.7,2,5,13,4.7,20
10,19.99,0,29,0,5,0,13,0,20
10,14.99,3,12,5,4,5,13,4.7,20
11,9.99,4,13,4.3,2,5,13,4.3,20
11,9.99,1,13,5,4,5,13,5,20
10,9.99,0,19,0,5,0,13,0,20
9,4.99,0,10,0,5,0,13,0,20
9,4.99,2,7,4.5,4,5,13,5,20
9,4.99,2,8,4.5,2,5,13,5,20
25,69.99,1,695,0,5,5,16,0,20
28,59.99,2,646,5,5,4.5,16,3,20
25,49.99,6,460,4.5,0,4.3,16,4.2,20
25,39.99,2,451,4.5,0,5,16,4.5,20
25,29.99,8,339,4.3,0,4.3,16,4.4,20
25,29.99,2,360,4,0,4,16,3.5,20
22,19.99,2,205,5,0,5,16,5,20
22,19.99,2,145,5,0,5,16,3.5,20
22,14.99,2,149,5,2,5,16,5,20
22,59.99,3,637,5,0,5,16,4.5,20
22,9.99,3,67,5,2,5,16,5,20
22,19.99,4,226,5,0,4.5,16,5,20
22,99.99,4,871,5,0,4.8,17,4,20
19,69.99,8,622,4.6,0,4.1,17,3.3,20
22,69.99,2,603,5,1,4.5,17,5,20
19,69.99,7,722,4.6,0,4.1,17,4,20
25,59.99,3,585,3.3,0,3.7,17,3.7,20
22,54.99,0,488,0,5,0,17,0,20
19,49.99,6,589,4.8,2,4.5,17,4,20
19,44.99,1,460,4,0,4,17,1,20
19,39.99,0,370,0,5,0,17,0,20
22,39.99,4,402,5,0,5,17,4.5,20
19,39.99,3,326,4,1,3.7,17,3,20
19,32.99,3,378,4.7,0,2.7,17,3.3,20
19,29.99,2,351,5,1,5,17,5,20
19,29.99,2,307,5,0,4.5,17,4.5,20
19,29.99,1,309,5,2,5,17,5,20
19,29.99,7,289,3.8,2,4.1,17,3.7,20
19,24.99,3,246,5,2,4,17,4,20
19,24.99,1,229,5,0,5,17,5,20
19,19.99,1,223,5,5,5,17,5,20
19,19.99,0,210,0,5,0,17,0,20
13,19.99,0,115,0,5,0,21,0,20
19,19.99,4,186,5,2,4.5,17,4.8,20
19,14.99,0,119,0,5,0,17,0,20
19,14.99,1,163,5,2,4,17,2,20
13,9.99,2,67,5,4,5,21,4,20
19,9.99,2,95,4.5,2,5,17,5,20
19,9.99,3,86,2.3,0,3,17,2.7,20
18,12.99,2,249,5,0,5,17,5,20
19,29.99,5,286,5,0,5,17,5,20
19,29.99,5,176,2.8,2,2.8,17,1.8,20
19,19.99,8,195,4.3,0,4.5,17,4.5,20
16,4.99,1,62,5,5,5,17,5,20
25,99.99,17,1124,4.8,0,4.8,17,4.5,20
22,79.99,5,774,3.8,2,2.8,17,2.4,20
19,59.99,5,575,5,0,5,17,5,20
19,39.99,3,328,4.5,0,4.7,17,4.5,20
16,29.99,18,217,2.7,2,2.6,17,2.6,20
16,19.99,0,185,0,5,0,17,0,20
19,19.99,1,185,4,2,4,17,5,20
16,14.99,1,145,4,5,4,17,4,20
19,14.99,6,174,3.8,0,4.3,17,4,20
16,9.99,1,79,3,2,4,17,5,20
16,9.99,0,86,0,5,0,17,0,20
16,9.99,2,77,4.5,2,5,17,4.5,20
16,4.99,1,45,5,2,5,17,5,20
8,349.99,130,4634,4.7,1,4.8,18,4.7,20
26,59.99,24,556,4.6,0,4.8,18,4.3,20
5,69.99,83,962,3.7,0,4.5,19,4.2,20
0,34.99,30,230,4.1,2,4.4,19,3.7,20
5,149.99,79,2049,4.8,0,5,19,4.7,20
7,119.99,367,1969,4.6,1,4.9,19,4.9,20
27,49.99,23,496,3.6,2,3.3,19,2.7,20
0,24.99,33,231,4.4,2,4.6,19,4.5,20
5,79.99,51,773,3.3,0,4.1,19,4,20
13,49.99,0,150,0,5,0,21,0,20
13,29.99,0,178,0,5,0,21,0,20
13,24.99,0,85,0,5,0,21,0,20
13,24.99,0,149,0,5,0,21,0,20
13,19.99,0,84,0,5,0,21,0,20
